id,precinct,office,candidate,party,votes
1474,Hannibal 3,Attorney General (DEM),Sean Patrick Maloney,,19
1475,Hannibal 3,Attorney General (DEM),Letitia A. James,,7
1476,Hannibal 3,Attorney General (DEM),Leecia R. Eve,,1
1477,Hannibal 3,Attorney General (DEM),Zephyr Teachout,,6
1478,Hannibal 3,Attorney General (DEM),Write-ins,,0
1479,Hannibal 3,Attorney General (DEM),Voids/Blanks,,2
1480,Hannibal 4,Attorney General (DEM),,,
1481,Hannibal 4,Attorney General (DEM),Ballots,,35
1482,Hannibal 4,Attorney General (DEM),Sean Patrick Maloney,,20
1483,Hannibal 4,Attorney General (DEM),Letitia A. James,,4
1484,Hannibal 4,Attorney General (DEM),Leecia R. Eve,,3
1485,Hannibal 4,Attorney General (DEM),Zephyr Teachout,,7
1486,Hannibal 4,Attorney General (DEM),Write-ins,,0
1487,Hannibal 4,Attorney General (DEM),Voids/Blanks,,1
1488,Hastings 1,Attorney General (DEM),,,
1489,Hastings 1,Attorney General (DEM),Ballots,,38
1490,Hastings 1,Attorney General (DEM),Sean Patrick Maloney,,30
1491,Hastings 1,Attorney General (DEM),Letitia A. James,,2
1492,Hastings 1,Attorney General (DEM),Leecia R. Eve,,0
1493,Hastings 1,Attorney General (DEM),Zephyr Teachout,,4
1494,Hastings 1,Attorney General (DEM),Write-ins,,0
1495,Hastings 1,Attorney General (DEM),Voids/Blanks,,2
1496,Hastings 2,Attorney General (DEM),,,
1497,Hastings 2,Attorney General (DEM),Ballots,,24
1498,Hastings 2,Attorney General (DEM),Sean Patrick Maloney,,14
1499,Hastings 2,Attorney General (DEM),Letitia A. James,,0
1500,Hastings 2,Attorney General (DEM),Leecia R. Eve,,0
1501,Hastings 2,Attorney General (DEM),Zephyr Teachout,,10
1502,Hastings 2,Attorney General (DEM),Write-ins,,0
1503,Hastings 2,Attorney General (DEM),Voids/Blanks,,0
1504,Hastings 3,Attorney General (DEM),,,
1505,Hastings 3,Attorney General (DEM),Ballots,,58
1506,Hastings 3,Attorney General (DEM),Sean Patrick Maloney,,35
1507,Hastings 3,Attorney General (DEM),Letitia A. James,,12
1508,Hastings 3,Attorney General (DEM),Leecia R. Eve,,3
1509,Hastings 3,Attorney General (DEM),Zephyr Teachout,,6
1510,Hastings 3,Attorney General (DEM),Write-ins,,0
1511,Hastings 3,Attorney General (DEM),Voids/Blanks,,2
1512,Hastings 4,Attorney General (DEM),,,
1513,Hastings 4,Attorney General (DEM),Ballots,,13
1514,Hastings 4,Attorney General (DEM),Sean Patrick Maloney,,8
1515,Hastings 4,Attorney General (DEM),Letitia A. James,,5
1516,Hastings 4,Attorney General (DEM),Leecia R. Eve,,0
1517,Hastings 4,Attorney General (DEM),Zephyr Teachout,,0
1518,Hastings 4,Attorney General (DEM),Write-ins,,0
1519,Hastings 4,Attorney General (DEM),Voids/Blanks,,0
1520,Hastings 5,Attorney General (DEM),,,
1521,Hastings 5,Attorney General (DEM),Ballots,,22
1522,Hastings 5,Attorney General (DEM),Sean Patrick Maloney,,11
1523,Hastings 5,Attorney General (DEM),Letitia A. James,,6
1524,Hastings 5,Attorney General (DEM),Leecia R. Eve,,2
1525,Hastings 5,Attorney General (DEM),Zephyr Teachout,,1
1526,Hastings 5,Attorney General (DEM),Write-ins,,0
1527,Hastings 5,Attorney General (DEM),Voids/Blanks,,2
1528,Hastings 6,Attorney General (DEM),,,
1529,Hastings 6,Attorney General (DEM),Ballots,,1
1530,Hastings 6,Attorney General (DEM),Sean Patrick Maloney,,1
1531,Hastings 6,Attorney General (DEM),Letitia A. James,,0
1532,Hastings 6,Attorney General (DEM),Leecia R. Eve,,0
1533,Hastings 6,Attorney General (DEM),Zephyr Teachout,,0
1534,Hastings 6,Attorney General (DEM),Write-ins,,0
1535,Hastings 6,Attorney General (DEM),Voids/Blanks,,0
1536,Hastings 7,Attorney General (DEM),,,
1537,Hastings 7,Attorney General (DEM),Ballots,,22
1538,Hastings 7,Attorney General (DEM),Sean Patrick Maloney,,11
1539,Hastings 7,Attorney General (DEM),Letitia A. James,,4
1540,Hastings 7,Attorney General (DEM),Leecia R. Eve,,1
1541,Hastings 7,Attorney General (DEM),Zephyr Teachout,,6
1542,Hastings 7,Attorney General (DEM),Write-ins,,0
1543,Hastings 7,Attorney General (DEM),Voids/Blanks,,0
1544,Hastings 8,Attorney General (DEM),,,
1545,Hastings 8,Attorney General (DEM),Ballots,,60
1546,Hastings 8,Attorney General (DEM),Sean Patrick Maloney,,31
1547,Hastings 8,Attorney General (DEM),Letitia A. James,,5
1548,Hastings 8,Attorney General (DEM),Leecia R. Eve,,3
1549,Hastings 8,Attorney General (DEM),Zephyr Teachout,,20
1550,Hastings 8,Attorney General (DEM),Write-ins,,1
1551,Hastings 8,Attorney General (DEM),Voids/Blanks,,0
1552,Mexico 1,Attorney General (DEM),,,
1553,Mexico 1,Attorney General (DEM),Ballots,,29
1554,Mexico 1,Attorney General (DEM),Sean Patrick Maloney,,9
1555,Mexico 1,Attorney General (DEM),Letitia A. James,,6
1556,Mexico 1,Attorney General (DEM),Leecia R. Eve,,1
1557,Mexico 1,Attorney General (DEM),Zephyr Teachout,,10
1558,Mexico 1,Attorney General (DEM),Write-ins,,1
1559,Mexico 1,Attorney General (DEM),Voids/Blanks,,2
1560,Mexico 2,Attorney General (DEM),,,
1561,Mexico 2,Attorney General (DEM),Ballots,,27
1562,Mexico 2,Attorney General (DEM),Sean Patrick Maloney,,14
1563,Mexico 2,Attorney General (DEM),Letitia A. James,,2
1564,Mexico 2,Attorney General (DEM),Leecia R. Eve,,1
1565,Mexico 2,Attorney General (DEM),Zephyr Teachout,,10
1566,Mexico 2,Attorney General (DEM),Write-ins,,0
1567,Mexico 2,Attorney General (DEM),Voids/Blanks,,0
1568,Mexico 3,Attorney General (DEM),,,
1569,Mexico 3,Attorney General (DEM),Ballots,,41
1570,Mexico 3,Attorney General (DEM),Sean Patrick Maloney,,23
1571,Mexico 3,Attorney General (DEM),Letitia A. James,,5
1572,Mexico 3,Attorney General (DEM),Leecia R. Eve,,3
1573,Mexico 3,Attorney General (DEM),Zephyr Teachout,,10
1574,Mexico 3,Attorney General (DEM),Write-ins,,0
1575,Mexico 3,Attorney General (DEM),Voids/Blanks,,0
1576,Mexico 4,Attorney General (DEM),,,
1577,Mexico 4,Attorney General (DEM),Ballots,,12
1578,Mexico 4,Attorney General (DEM),Sean Patrick Maloney,,5
1579,Mexico 4,Attorney General (DEM),Letitia A. James,,1
1580,Mexico 4,Attorney General (DEM),Leecia R. Eve,,1
1581,Mexico 4,Attorney General (DEM),Zephyr Teachout,,3
1582,Mexico 4,Attorney General (DEM),Write-ins,,0
1583,Mexico 4,Attorney General (DEM),Voids/Blanks,,2
1584,Minetto 1,Attorney General (DEM),,,
1585,Minetto 1,Attorney General (DEM),Ballots,,77
1586,Minetto 1,Attorney General (DEM),Sean Patrick Maloney,,38
1587,Minetto 1,Attorney General (DEM),Letitia A. James,,13
1588,Minetto 1,Attorney General (DEM),Leecia R. Eve,,0
1589,Minetto 1,Attorney General (DEM),Zephyr Teachout,,19
1590,Minetto 1,Attorney General (DEM),Write-ins,,0
1591,Minetto 1,Attorney General (DEM),Voids/Blanks,,7
1592,Minetto 2,Attorney General (DEM),,,
1593,Minetto 2,Attorney General (DEM),Ballots,,22
1594,Minetto 2,Attorney General (DEM),Sean Patrick Maloney,,13
1595,Minetto 2,Attorney General (DEM),Letitia A. James,,1
1596,Minetto 2,Attorney General (DEM),Leecia R. Eve,,0
1597,Minetto 2,Attorney General (DEM),Zephyr Teachout,,6
1598,Minetto 2,Attorney General (DEM),Write-ins,,0
1599,Minetto 2,Attorney General (DEM),Voids/Blanks,,2
1600,New Haven 1,Attorney General (DEM),,,
1601,New Haven 1,Attorney General (DEM),Ballots,,43
1602,New Haven 1,Attorney General (DEM),Sean Patrick Maloney,,20
1603,New Haven 1,Attorney General (DEM),Letitia A. James,,7
1604,New Haven 1,Attorney General (DEM),Leecia R. Eve,,2
1605,New Haven 1,Attorney General (DEM),Zephyr Teachout,,13
1606,New Haven 1,Attorney General (DEM),Write-ins,,0
1607,New Haven 1,Attorney General (DEM),Voids/Blanks,,1
1608,New Haven 2,Attorney General (DEM),,,
1609,New Haven 2,Attorney General (DEM),Ballots,,11
1610,New Haven 2,Attorney General (DEM),Sean Patrick Maloney,,6
1611,New Haven 2,Attorney General (DEM),Letitia A. James,,2
1612,New Haven 2,Attorney General (DEM),Leecia R. Eve,,0
1613,New Haven 2,Attorney General (DEM),Zephyr Teachout,,3
1614,New Haven 2,Attorney General (DEM),Write-ins,,0
1615,New Haven 2,Attorney General (DEM),Voids/Blanks,,0
1616,New Haven 3,Attorney General (DEM),,,
1617,New Haven 3,Attorney General (DEM),Ballots,,22
1618,New Haven 3,Attorney General (DEM),Sean Patrick Maloney,,8
1619,New Haven 3,Attorney General (DEM),Letitia A. James,,4
1620,New Haven 3,Attorney General (DEM),Leecia R. Eve,,1
1621,New Haven 3,Attorney General (DEM),Zephyr Teachout,,6
1622,New Haven 3,Attorney General (DEM),Write-ins,,0
1623,New Haven 3,Attorney General (DEM),Voids/Blanks,,3
1624,Orwell 1,Attorney General (DEM),,,
1625,Orwell 1,Attorney General (DEM),Ballots,,20
1626,Orwell 1,Attorney General (DEM),Sean Patrick Maloney,,14
1627,Orwell 1,Attorney General (DEM),Letitia A. James,,1
1628,Orwell 1,Attorney General (DEM),Leecia R. Eve,,0
1629,Orwell 1,Attorney General (DEM),Zephyr Teachout,,4
1630,Orwell 1,Attorney General (DEM),Write-ins,,0
1631,Orwell 1,Attorney General (DEM),Voids/Blanks,,1
1632,Oswego Town 1,Attorney General (DEM),,,
1633,Oswego Town 1,Attorney General (DEM),Ballots,,4
1634,Oswego Town 1,Attorney General (DEM),Sean Patrick Maloney,,2
1635,Oswego Town 1,Attorney General (DEM),Letitia A. James,,2
1636,Oswego Town 1,Attorney General (DEM),Leecia R. Eve,,0
1637,Oswego Town 1,Attorney General (DEM),Zephyr Teachout,,0
1638,Oswego Town 1,Attorney General (DEM),Write-ins,,0
1639,Oswego Town 1,Attorney General (DEM),Voids/Blanks,,0
1640,Oswego Town 2,Attorney General (DEM),,,
1641,Oswego Town 2,Attorney General (DEM),Ballots,,5
1642,Oswego Town 2,Attorney General (DEM),Sean Patrick Maloney,,0
1643,Oswego Town 2,Attorney General (DEM),Letitia A. James,,2
1644,Oswego Town 2,Attorney General (DEM),Leecia R. Eve,,1
1645,Oswego Town 2,Attorney General (DEM),Zephyr Teachout,,2
1646,Oswego Town 2,Attorney General (DEM),Write-ins,,0
1647,Oswego Town 2,Attorney General (DEM),Voids/Blanks,,0
1648,Oswego Town 3,Attorney General (DEM),,,
1649,Oswego Town 3,Attorney General (DEM),Ballots,,74
1650,Oswego Town 3,Attorney General (DEM),Sean Patrick Maloney,,32
1651,Oswego Town 3,Attorney General (DEM),Letitia A. James,,10
1652,Oswego Town 3,Attorney General (DEM),Leecia R. Eve,,5
1653,Oswego Town 3,Attorney General (DEM),Zephyr Teachout,,23
1654,Oswego Town 3,Attorney General (DEM),Write-ins,,0
1655,Oswego Town 3,Attorney General (DEM),Voids/Blanks,,4
1656,Oswego Town 4,Attorney General (DEM),,,
1657,Oswego Town 4,Attorney General (DEM),Ballots,,47
1658,Oswego Town 4,Attorney General (DEM),Sean Patrick Maloney,,19
1659,Oswego Town 4,Attorney General (DEM),Letitia A. James,,7
1660,Oswego Town 4,Attorney General (DEM),Leecia R. Eve,,0
1661,Oswego Town 4,Attorney General (DEM),Zephyr Teachout,,19
1662,Oswego Town 4,Attorney General (DEM),Write-ins,,0
1663,Oswego Town 4,Attorney General (DEM),Voids/Blanks,,2
1664,Oswego Town 5,Attorney General (DEM),,,
1665,Oswego Town 5,Attorney General (DEM),Ballots,,33
1666,Oswego Town 5,Attorney General (DEM),Sean Patrick Maloney,,18
1667,Oswego Town 5,Attorney General (DEM),Letitia A. James,,4
1668,Oswego Town 5,Attorney General (DEM),Leecia R. Eve,,1
1669,Oswego Town 5,Attorney General (DEM),Zephyr Teachout,,8
1670,Oswego Town 5,Attorney General (DEM),Write-ins,,0
1671,Oswego Town 5,Attorney General (DEM),Voids/Blanks,,2
1672,Oswego Town 6,Attorney General (DEM),,,
1673,Oswego Town 6,Attorney General (DEM),Ballots,,23
1674,Oswego Town 6,Attorney General (DEM),Sean Patrick Maloney,,14
1675,Oswego Town 6,Attorney General (DEM),Letitia A. James,,1
1676,Oswego Town 6,Attorney General (DEM),Leecia R. Eve,,0
1677,Oswego Town 6,Attorney General (DEM),Zephyr Teachout,,6
1678,Oswego Town 6,Attorney General (DEM),Write-ins,,0
1679,Oswego Town 6,Attorney General (DEM),Voids/Blanks,,2
1680,Oswego Town 7,Attorney General (DEM),,,
1681,Oswego Town 7,Attorney General (DEM),Ballots,,56
1682,Oswego Town 7,Attorney General (DEM),Sean Patrick Maloney,,21
1683,Oswego Town 7,Attorney General (DEM),Letitia A. James,,11
1684,Oswego Town 7,Attorney General (DEM),Leecia R. Eve,,2
1685,Oswego Town 7,Attorney General (DEM),Zephyr Teachout,,21
1686,Oswego Town 7,Attorney General (DEM),Write-ins,,0
1687,Oswego Town 7,Attorney General (DEM),Voids/Blanks,,1
1688,Palermo 1,Attorney General (DEM),,,
1689,Palermo 1,Attorney General (DEM),Ballots,,48
1690,Palermo 1,Attorney General (DEM),Sean Patrick Maloney,,24
1691,Palermo 1,Attorney General (DEM),Letitia A. James,,7
1692,Palermo 1,Attorney General (DEM),Leecia R. Eve,,4
1693,Palermo 1,Attorney General (DEM),Zephyr Teachout,,13
1694,Palermo 1,Attorney General (DEM),Write-ins,,0
1695,Palermo 1,Attorney General (DEM),Voids/Blanks,,0
1696,Palermo 2,Attorney General (DEM),,,
1697,Palermo 2,Attorney General (DEM),Ballots,,17
1698,Palermo 2,Attorney General (DEM),Sean Patrick Maloney,,9
1699,Palermo 2,Attorney General (DEM),Letitia A. James,,2
1700,Palermo 2,Attorney General (DEM),Leecia R. Eve,,2
1701,Palermo 2,Attorney General (DEM),Zephyr Teachout,,3
1702,Palermo 2,Attorney General (DEM),Write-ins,,0
1703,Palermo 2,Attorney General (DEM),Voids/Blanks,,1
1704,Palermo 3,Attorney General (DEM),,,
1705,Palermo 3,Attorney General (DEM),Ballots,,16
1706,Palermo 3,Attorney General (DEM),Sean Patrick Maloney,,3
1707,Palermo 3,Attorney General (DEM),Letitia A. James,,3
1708,Palermo 3,Attorney General (DEM),Leecia R. Eve,,0
1709,Palermo 3,Attorney General (DEM),Zephyr Teachout,,9
1710,Palermo 3,Attorney General (DEM),Write-ins,,0
1711,Palermo 3,Attorney General (DEM),Voids/Blanks,,1
1712,Palermo 4,Attorney General (DEM),,,
1713,Palermo 4,Attorney General (DEM),Ballots,,1
1714,Palermo 4,Attorney General (DEM),Sean Patrick Maloney,,1
1715,Palermo 4,Attorney General (DEM),Letitia A. James,,0
1716,Palermo 4,Attorney General (DEM),Leecia R. Eve,,0
1717,Palermo 4,Attorney General (DEM),Zephyr Teachout,,0
1718,Palermo 4,Attorney General (DEM),Write-ins,,0
1719,Palermo 4,Attorney General (DEM),Voids/Blanks,,0
1720,Parish 1,Attorney General (DEM),,,
1721,Parish 1,Attorney General (DEM),Ballots,,30
1722,Parish 1,Attorney General (DEM),Sean Patrick Maloney,,12
1723,Parish 1,Attorney General (DEM),Letitia A. James,,4
1724,Parish 1,Attorney General (DEM),Leecia R. Eve,,1
1725,Parish 1,Attorney General (DEM),Zephyr Teachout,,9
1726,Parish 1,Attorney General (DEM),Write-ins,,0
1727,Parish 1,Attorney General (DEM),Voids/Blanks,,4
1728,Parish 2,Attorney General (DEM),,,
1729,Parish 2,Attorney General (DEM),Ballots,,30
1730,Parish 2,Attorney General (DEM),Sean Patrick Maloney,,15
1731,Parish 2,Attorney General (DEM),Letitia A. James,,5
1732,Parish 2,Attorney General (DEM),Leecia R. Eve,,3
1733,Parish 2,Attorney General (DEM),Zephyr Teachout,,6
1734,Parish 2,Attorney General (DEM),Write-ins,,0
1735,Parish 2,Attorney General (DEM),Voids/Blanks,,1
1736,Redfield 1,Attorney General (DEM),,,
1737,Redfield 1,Attorney General (DEM),Ballots,,21
1738,Redfield 1,Attorney General (DEM),Sean Patrick Maloney,,10
1739,Redfield 1,Attorney General (DEM),Letitia A. James,,2
1740,Redfield 1,Attorney General (DEM),Leecia R. Eve,,0
1741,Redfield 1,Attorney General (DEM),Zephyr Teachout,,6
1742,Redfield 1,Attorney General (DEM),Write-ins,,0
1743,Redfield 1,Attorney General (DEM),Voids/Blanks,,3
1744,Richland 1,Attorney General (DEM),,,
1745,Richland 1,Attorney General (DEM),Ballots,,29
1746,Richland 1,Attorney General (DEM),Sean Patrick Maloney,,15
1747,Richland 1,Attorney General (DEM),Letitia A. James,,3
1748,Richland 1,Attorney General (DEM),Leecia R. Eve,,0
1749,Richland 1,Attorney General (DEM),Zephyr Teachout,,7
1750,Richland 1,Attorney General (DEM),Write-ins,,1
1751,Richland 1,Attorney General (DEM),Voids/Blanks,,3
1752,Richland 2,Attorney General (DEM),,,
1753,Richland 2,Attorney General (DEM),Ballots,,27
1754,Richland 2,Attorney General (DEM),Sean Patrick Maloney,,18
1755,Richland 2,Attorney General (DEM),Letitia A. James,,2
1756,Richland 2,Attorney General (DEM),Leecia R. Eve,,1
1757,Richland 2,Attorney General (DEM),Zephyr Teachout,,6
1758,Richland 2,Attorney General (DEM),Write-ins,,0
1759,Richland 2,Attorney General (DEM),Voids/Blanks,,0
1760,Richland 3,Attorney General (DEM),,,
1761,Richland 3,Attorney General (DEM),Ballots,,15
1762,Richland 3,Attorney General (DEM),Sean Patrick Maloney,,5
1763,Richland 3,Attorney General (DEM),Letitia A. James,,3
1764,Richland 3,Attorney General (DEM),Leecia R. Eve,,1
1765,Richland 3,Attorney General (DEM),Zephyr Teachout,,6
1766,Richland 3,Attorney General (DEM),Write-ins,,0
1767,Richland 3,Attorney General (DEM),Voids/Blanks,,0
1768,Richland 4,Attorney General (DEM),,,
1769,Richland 4,Attorney General (DEM),Ballots,,25
1770,Richland 4,Attorney General (DEM),Sean Patrick Maloney,,16
1771,Richland 4,Attorney General (DEM),Letitia A. James,,2
1772,Richland 4,Attorney General (DEM),Leecia R. Eve,,2
1773,Richland 4,Attorney General (DEM),Zephyr Teachout,,4
1774,Richland 4,Attorney General (DEM),Write-ins,,0
1775,Richland 4,Attorney General (DEM),Voids/Blanks,,1
1776,Richland 5,Attorney General (DEM),,,
1777,Richland 5,Attorney General (DEM),Ballots,,3
1778,Richland 5,Attorney General (DEM),Sean Patrick Maloney,,2
1779,Richland 5,Attorney General (DEM),Letitia A. James,,1
1780,Richland 5,Attorney General (DEM),Leecia R. Eve,,0
1781,Richland 5,Attorney General (DEM),Zephyr Teachout,,0
1782,Richland 5,Attorney General (DEM),Write-ins,,0
1783,Richland 5,Attorney General (DEM),Voids/Blanks,,0
1784,Richland 6,Attorney General (DEM),,,
1785,Richland 6,Attorney General (DEM),Ballots,,3
1786,Richland 6,Attorney General (DEM),Sean Patrick Maloney,,2
1787,Richland 6,Attorney General (DEM),Letitia A. James,,0
1788,Richland 6,Attorney General (DEM),Leecia R. Eve,,0
1789,Richland 6,Attorney General (DEM),Zephyr Teachout,,1
1790,Richland 6,Attorney General (DEM),Write-ins,,0
1791,Richland 6,Attorney General (DEM),Voids/Blanks,,0
1792,Sandy Creek 1,Attorney General (DEM),,,
1793,Sandy Creek 1,Attorney General (DEM),Ballots,,47
1794,Sandy Creek 1,Attorney General (DEM),Sean Patrick Maloney,,23
1795,Sandy Creek 1,Attorney General (DEM),Letitia A. James,,5
1796,Sandy Creek 1,Attorney General (DEM),Leecia R. Eve,,2
1797,Sandy Creek 1,Attorney General (DEM),Zephyr Teachout,,11
1798,Sandy Creek 1,Attorney General (DEM),Write-ins,,0
1799,Sandy Creek 1,Attorney General (DEM),Voids/Blanks,,6
1800,Sandy Creek 2,Attorney General (DEM),,,
1801,Sandy Creek 2,Attorney General (DEM),Ballots,,34
1802,Sandy Creek 2,Attorney General (DEM),Sean Patrick Maloney,,17
1803,Sandy Creek 2,Attorney General (DEM),Letitia A. James,,6
1804,Sandy Creek 2,Attorney General (DEM),Leecia R. Eve,,3
1805,Sandy Creek 2,Attorney General (DEM),Zephyr Teachout,,6
1806,Sandy Creek 2,Attorney General (DEM),Write-ins,,0
1807,Sandy Creek 2,Attorney General (DEM),Voids/Blanks,,2
1808,Sandy Creek 3,Attorney General (DEM),,,
1809,Sandy Creek 3,Attorney General (DEM),Ballots,,18
1810,Sandy Creek 3,Attorney General (DEM),Sean Patrick Maloney,,10
1811,Sandy Creek 3,Attorney General (DEM),Letitia A. James,,1
1812,Sandy Creek 3,Attorney General (DEM),Leecia R. Eve,,1
1813,Sandy Creek 3,Attorney General (DEM),Zephyr Teachout,,5
1814,Sandy Creek 3,Attorney General (DEM),Write-ins,,0
1815,Sandy Creek 3,Attorney General (DEM),Voids/Blanks,,1
1816,Schroeppel 1,Attorney General (DEM),,,
1817,Schroeppel 1,Attorney General (DEM),Ballots,,53
1818,Schroeppel 1,Attorney General (DEM),Sean Patrick Maloney,,21
1819,Schroeppel 1,Attorney General (DEM),Letitia A. James,,13
1820,Schroeppel 1,Attorney General (DEM),Leecia R. Eve,,1
1821,Schroeppel 1,Attorney General (DEM),Zephyr Teachout,,17
1822,Schroeppel 1,Attorney General (DEM),Write-ins,,0
1823,Schroeppel 1,Attorney General (DEM),Voids/Blanks,,1
1824,Schroeppel 2,Attorney General (DEM),,,
1825,Schroeppel 2,Attorney General (DEM),Ballots,,30
1826,Schroeppel 2,Attorney General (DEM),Sean Patrick Maloney,,14
1827,Schroeppel 2,Attorney General (DEM),Letitia A. James,,8
1828,Schroeppel 2,Attorney General (DEM),Leecia R. Eve,,0
1829,Schroeppel 2,Attorney General (DEM),Zephyr Teachout,,6
1830,Schroeppel 2,Attorney General (DEM),Write-ins,,0
1831,Schroeppel 2,Attorney General (DEM),Voids/Blanks,,2
1832,Schroeppel 3,Attorney General (DEM),,,
1833,Schroeppel 3,Attorney General (DEM),Ballots,,8
1834,Schroeppel 3,Attorney General (DEM),Sean Patrick Maloney,,6
1835,Schroeppel 3,Attorney General (DEM),Letitia A. James,,1
1836,Schroeppel 3,Attorney General (DEM),Leecia R. Eve,,0
1837,Schroeppel 3,Attorney General (DEM),Zephyr Teachout,,1
1838,Schroeppel 3,Attorney General (DEM),Write-ins,,0
1839,Schroeppel 3,Attorney General (DEM),Voids/Blanks,,0
1840,Schroeppel 4,Attorney General (DEM),,,
1841,Schroeppel 4,Attorney General (DEM),Ballots,,49
1842,Schroeppel 4,Attorney General (DEM),Sean Patrick Maloney,,23
1843,Schroeppel 4,Attorney General (DEM),Letitia A. James,,8
1844,Schroeppel 4,Attorney General (DEM),Leecia R. Eve,,1
1845,Schroeppel 4,Attorney General (DEM),Zephyr Teachout,,16
1846,Schroeppel 4,Attorney General (DEM),Write-ins,,0
1847,Schroeppel 4,Attorney General (DEM),Voids/Blanks,,1
1848,Schroeppel 5,Attorney General (DEM),,,
1849,Schroeppel 5,Attorney General (DEM),Ballots,,49
1850,Schroeppel 5,Attorney General (DEM),Sean Patrick Maloney,,18
1851,Schroeppel 5,Attorney General (DEM),Letitia A. James,,9
1852,Schroeppel 5,Attorney General (DEM),Leecia R. Eve,,3
1853,Schroeppel 5,Attorney General (DEM),Zephyr Teachout,,15
1854,Schroeppel 5,Attorney General (DEM),Write-ins,,0
1855,Schroeppel 5,Attorney General (DEM),Voids/Blanks,,4
1856,Scriba 1,Attorney General (DEM),,,
1857,Scriba 1,Attorney General (DEM),Ballots,,32
1858,Scriba 1,Attorney General (DEM),Sean Patrick Maloney,,18
1859,Scriba 1,Attorney General (DEM),Letitia A. James,,4
